,player_id,year_,game_id,team_id,league_id,gp,starting_pos
188,mizejo01,1937,ALS193707070,SLN,NL,1.0,3.0
189,hermabi01,1937,ALS193707070,CHN,NL,1.0,4.0
190,vaughar01,1937,ALS193707070,PIT,NL,1.0,5.0
191,bartedi01,1937,ALS193707070,NY1,NL,1.0,6.0
192,medwijo01,1937,ALS193707070,SLN,NL,1.0,7.0
193,demarfr02,1937,ALS193707070,CHN,NL,1.0,8.0
194,wanerpa01,1937,ALS193707070,PIT,NL,1.0,9.0
195,blantcy01,1937,ALS193707070,PIT,NL,1.0,0.0
196,colliri02,1937,ALS193707070,CHN,NL,1.0,0.0
197,grissle01,1937,ALS193707070,CIN,NL,1.0,0.0
198,hubbeca01,1937,ALS193707070,NY1,NL,1.0,0.0
199,jurgebi01,1937,ALS193707070,CHN,NL,0.0,0.0
200,lombaer01,1937,ALS193707070,CIN,NL,0.0,0.0
201,mancugu01,1937,ALS193707070,NY1,NL,1.0,0.0
202,martipe01,1937,ALS193707070,SLN,NL,0.0,0.0
203,moorege03,1937,ALS193707070,BSN,NL,0.0,0.0
204,moorejo02,1937,ALS193707070,NY1,NL,1.0,0.0
205,mungova01,1937,ALS193707070,BRO,NL,1.0,0.0
206,ottme01,1937,ALS193707070,NY1,NL,1.0,0.0
207,waltebu01,1937,ALS193707070,PHI,NL,1.0,0.0
208,whitebu01,1937,ALS193707070,NY1,NL,1.0,0.0
209,gomezle01,1938,NLS193807060,NYA,AL,1.0,1.0
210,dickebi01,1938,NLS193807060,NYA,AL,1.0,2.0
211,foxxji01,1938,NLS193807060,BOS,AL,1.0,3.0
212,gehrich01,1938,NLS193807060,DET,AL,1.0,4.0
213,lewisbu01,1938,NLS193807060,WS1,AL,1.0,5.0
214,cronijo01,1938,NLS193807060,BOS,AL,1.0,6.0
215,kreevmi01,1938,NLS193807060,CHA,AL,1.0,7.0
216,averiea01,1938,NLS193807060,CLE,AL,1.0,8.0
217,dimagjo01,1938,NLS193807060,NYA,AL,1.0,9.0
218,allenjo02,1938,NLS193807060,CLE,AL,1.0,0.0
219,cramedo01,1938,NLS193807060,BOS,AL,1.0,0.0
220,fellebo01,1938,NLS193807060,CLE,AL,0.0,0.0
221,ferreri01,1938,NLS193807060,WS1,AL,0.0,0.0
222,gehrilo01,1938,NLS193807060,NYA,AL,1.0,0.0
223,greenha01,1938,NLS193807060,DET,AL,0.0,0.0
224,grovele01,1938,NLS193807060,BOS,AL,1.0,0.0
225,johnsbo01,1938,NLS193807060,PHA,AL,1.0,0.0
226,kenneve01,1938,NLS193807060,DET,AL,0.0,0.0
227,murphjo04,1938,NLS193807060,NYA,AL,0.0,0.0
228,newsobo01,1938,NLS193807060,SLA,AL,0.0,0.0
229,rolfere01,1938,NLS193807060,NYA,AL,0.0,0.0
230,ruffire01,1938,NLS193807060,NYA,AL,0.0,0.0
231,travice01,1938,NLS193807060,WS1,AL,0.0,0.0
232,yorkru01,1938,NLS193807060,DET,AL,1.0,0.0
233,vandejo01,1938,NLS193807060,CIN,NL,1.0,1.0
234,lombaer01,1938,NLS193807060,CIN,NL,1.0,2.0
235,mccorfr01,1938,NLS193807060,CIN,NL,1.0,3.0
236,hermabi01,1938,NLS193807060,CHN,NL,1.0,4.0
237,hackst01,1938,NLS193807060,CHN,NL,1.0,5.0
238,durocle01,1938,NLS193807060,BRO,NL,1.0,6.0
239,medwijo01,1938,NLS193807060,SLN,NL,1.0,7.0
240,ottme01,1938,NLS193807060,NY1,NL,1.0,8.0
241,goodmiv01,1938,NLS193807060,CIN,NL,1.0,9.0
242,brownma01,1938,NLS193807060,PIT,NL,1.0,0.0
243,cuccito01,1938,NLS193807060,BSN,NL,0.0,0.0
244,danniha01,1938,NLS193807060,NY1,NL,0.0,0.0
245,derripa01,1938,NLS193807060,CIN,NL,0.0,0.0
246,hartnga01,1938,NLS193807060,CHN,NL,0.0,0.0
247,hubbeca01,1938,NLS193807060,NY1,NL,0.0,0.0
248,lavagco01,1938,NLS193807060,BRO,NL,0.0,0.0
249,leebi02,1938,NLS193807060,CHN,NL,1.0,0.0
250,leibeha01,1938,NLS193807060,NY1,NL,1.0,0.0
251,martihe01,1938,NLS193807060,PHI,NL,0.0,0.0
252,moorejo02,1938,NLS193807060,NY1,NL,0.0,0.0
253,phelpba01,1938,NLS193807060,BRO,NL,0.0,0.0
254,turneji01,1938,NLS193807060,BSN,NL,0.0,0.0
255,vaughar01,1938,NLS193807060,PIT,NL,0.0,0.0
256,wanerll01,1938,NLS193807060,PIT,NL,0.0,0.0
257,ruffire01,1939,ALS193907110,NYA,AL,1.0,1.0
258,dickebi01,1939,ALS193907110,NYA,AL,1.0,2.0
259,greenha01,1939,ALS193907110,DET,AL,1.0,3.0
260,gordojo01,1939,ALS193907110,NYA,AL,1.0,4.0
261,rolfere01,1939,ALS193907110,NYA,AL,1.0,5.0
262,cronijo01,1939,ALS193907110,BOS,AL,1.0,6.0
263,selkige01,1939,ALS193907110,NYA,AL,1.0,7.0
264,dimagjo01,1939,ALS193907110,NYA,AL,1.0,8.0
265,cramedo01,1939,ALS193907110,BOS,AL,1.0,9.0
266,applilu01,1939,ALS193907110,CHA,AL,0.0,0.0
267,bridgto01,1939,ALS193907110,DET,AL,1.0,0.0
268,casege01,1939,ALS193907110,WS1,AL,0.0,0.0
269,crosefr01,1939,ALS193907110,NYA,AL,0.0,0.0
270,fellebo01,1939,ALS193907110,CLE,AL,1.0,0.0
271,foxxji01,1939,ALS193907110,BOS,AL,0.0,0.0
272,gehrilo01,1939,ALS193907110,NYA,AL,0.0,0.0
273,gomezle01,1939,ALS193907110,NYA,AL,0.0,0.0
274,grovele01,1939,ALS193907110,BOS,AL,0.0,0.0
